phylum,genus,count
Pseudomonadota,Aquamicrobium,2
Pseudomonadota,Aureimonas,2
Pseudomonadota,Caenibius,2
Pseudomonadota,Delftia,2
Pseudomonadota,Denitratimonas,2
Pseudomonadota,Liberibacter,2
Pseudomonadota,Methylobacillus,2
Pseudomonadota,Methylobacterium,2
Pseudomonadota,Methylomonas,2
Pseudomonadota,Nitratireductor,2
Pseudomonadota,Oleisolibacter,2
Pseudomonadota,Parvibaculum,2
Pseudomonadota,Peteryoungia,2
Pseudomonadota,Pseudaquabacterium,2
Pseudomonadota,Pseudaquidulcibacter,2
Pseudomonadota,Pseudorhodoplanes,2
Pseudomonadota,Solilutibacter,2
Pseudomonadota,Sphingomonas,2
Pseudomonadota,Sulfuritalea,2
Pseudomonadota,Tepidimonas,2
Pseudomonadota,Xylophilus,2
Pseudomonadota,Zavarzinia,2
Spirochaetota,Gracilinema,2
Synergistota,Pacaella,2
Thermodesulfobacteriota,Citrifermentans,2
Thermodesulfobacteriota,Geobacter,2
Thermodesulfobacteriota,Syntrophobacterium,2
Verrucomicrobiota,Chthoniobacter,2
Acidobacteriota,Alloacidobacterium,1
Acidobacteriota,Geothrix,1
Acidobacteriota,Paracidobacterium,1
Actinomycetota,Agilicoccus,1
Actinomycetota,Agrococcus,1
Actinomycetota,Agromyces,1
Actinomycetota,Ancrocorticia,1
Actinomycetota,Aquihabitans,1
Actinomycetota,Arabiibacter,1
Actinomycetota,Arachnia,1
Actinomycetota,Arcanobacterium,1
Actinomycetota,Asanoa,1
Actinomycetota,Buchananella,1
Actinomycetota,Changpingibacter,1
Actinomycetota,Collinsella,1
Actinomycetota,Cumulibacter,1
Actinomycetota,Dactylosporangium,1
Actinomycetota,Denitrobacterium,1
Actinomycetota,Dermacoccus,1
Actinomycetota,Epidermidibacterium,1
Actinomycetota,Humibacter,1
Actinomycetota,Ilumatobacter,1
Actinomycetota,Janibacter,1
Actinomycetota,Kitasatospora,1
Actinomycetota,Knoellia,1
Actinomycetota,Krasilnikovia,1
Actinomycetota,Luteimicrobium,1
Actinomycetota,Luteococcus,1
Actinomycetota,Micromonospora,1
Actinomycetota,Motilibacter,1
Actinomycetota,Mycolicibacillus,1
Actinomycetota,Nocardiopsis,1
Actinomycetota,Paraoerskovia,1
Actinomycetota,Parenemella,1
Actinomycetota,Parolsenella,1
Actinomycetota,Pseudokineococcus,1
Actinomycetota,Rhodococcus,1
Actinomycetota,Ruania,1
Actinomycetota,Serinibacter,1
Actinomycetota,Terrimesophilobacter,1
Actinomycetota,Thalassiella,1
Actinomycetota,Thermobifida,1
Actinomycetota,Tsukamurella,1
Armatimonadota,Chthonomonas,1
Bacillota,Acetobacterium,1
Bacillota,Aeribacillus,1
Bacillota,Alkalibacter,1
Bacillota,Alkalihalobacillus,1
Bacillota,Aminicella,1
Bacillota,Ammoniibacillus,1
Bacillota,Anaerofilum,1
Bacillota,Anaerosalibacter,1
Bacillota,Anaerosphaera,1
Bacillota,Anaerosporomusa,1
Bacillota,Anoxybacteroides,1
Bacillota,Atopostipes,1
Bacillota,Brassicibacter,1
Bacillota,Calculibacillus,1
Bacillota,Caldalkalibacillus,1
Bacillota,Caldanaerobacter,1
Bacillota,Caldinitratiruptor,1
Bacillota,Caldisalinibacter,1
Bacillota,Caloranaerobacter,1
Bacillota,Caloribacterium,1
Bacillota,Capillibacterium,1
Bacillota,Caproicibacterium,1
Bacillota,Carnobacterium,1
Bacillota,Catonella,1
Bacillota,Congobacterium,1
Bacillota,Defluviitalea,1
Bacillota,Desulfothermobacter,1
Bacillota,Desulfuribacillus,1
Bacillota,Dethiosulfatibacter,1
Bacillota,Eremococcus,1
Bacillota,Evtepia,1
Bacillota,Fervidicola,1
Bacillota,Fusimonas,1
Bacillota,Geobacillus,1
Bacillota,Geosporobacter,1
Bacillota,Halobacillus,1
Bacillota,Ignavigranum,1
Bacillota,Jeotgalibacillus,1
Bacillota,Kroppenstedtia,1
Bacillota,Lacticaseibacillus,1
Bacillota,Lactobacillus,1
Bacillota,Lentilactobacillus,1
Bacillota,Leuconostoc,1
Bacillota,Lutispora,1
Bacillota,Marininema,1
Bacillota,Metabacillus,1
Bacillota,Metaclostridioides,1
Bacillota,Methylomusa,1
Bacillota,Mogibacterium,1
Bacillota,Moorella,1
Bacillota,Natranaerobaculum,1
Bacillota,Natranaerobius,1
Bacillota,Natronincola,1
Bacillota,Ndongobacter,1
Bacillota,Nosocomiicoccus,1
Bacillota,Numidum,1
Bacillota,Oceanobacillus,1
Bacillota,Parasporobacterium,1
Bacillota,Pediococcus,1
Bacillota,Phocicoccus,1
Bacillota,Pseudalkalibacillus,1
Bacillota,Pseudobutyrivibrio,1
Bacillota,Psychrosinus,1
Bacillota,Pueribacillus,1
Bacillota,Salimesophilobacter,1
Bacillota,Savagea,1
Bacillota,Schwartzia,1
Bacillota,Sporosalibacterium,1
Bacillota,Stomatobaculum,1
Bacillota,Succinispira,1
Bacillota,Syntrophaceticus,1
Bacillota,Thermanaeromonas,1
Bacillota,Thermincola,1
Bacillota,Thermoanaerobacterium,1
Bacillota,Thermosediminibacter,1
Bacillota,Thermovenabulum,1
Bacillota,Thomasclavelia,1
Bacillota,Tindallia,1
Bacillota,Traorella,1
Bacillota,Vaginisenegalia,1
Bacillota,Veillonella,1
Bacillota,Virgibacillus,1
Bacillota,Zhenhengia,1
Bacteroidota,Alloprevotella,1
Bacteroidota,Breznakibacter,1
