tax	AmbarAyunda_minimap2_16S	total
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Denitratisoma;Denitratisoma oestradiolicum	347.0	347.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio aldrichii	340.0	340.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Gemmiger;Gemmiger gallinarum	338.0	338.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas testosteroni	333.0	333.0
Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Intestinibacter;Intestinibacter bartlettii	319.0	319.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Harryflintia;Harryflintia acetispora	308.0	308.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminiclostridium;Ruminiclostridium cellobioparum	308.0	308.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Jeotgalibaca;Jeotgalibaca porci	305.0	305.0
Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Raoultibacter;Raoultibacter timonensis	279.0	279.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillibacter;Oscillibacter valericigenes	277.0	277.0
Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Paraclostridium;Paraclostridium benzoelyticum	264.0	264.0
Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae;Aminipila;Aminipila butyrica	264.0	264.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Cellulosilyticaceae;Cellulosilyticum;Cellulosilyticum lentocellum	262.0	262.0
Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Faecalimicrobium;Faecalimicrobium dakarense	240.0	240.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Papillibacter;Papillibacter cinnamivorans	240.0	240.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio alkalicellulosi	236.0	236.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;Hydrogenophaga temperata	229.0	229.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Pseudoruminococcus;Pseudoruminococcus massiliensis	223.0	223.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Trichococcus;Trichococcus paludicola	207.0	207.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Giesbergeria;Giesbergeria voronezhensis	205.0	205.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paenacidovorax;Paenacidovorax caeni	200.0	200.0
Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellia_Incertae_sedis;Tissierellia_Incertae_sedis;Sedimentibacter;Sedimentibacter hydroxybenzoicus	196.0	196.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leucobacter;Leucobacter insecticola	193.0	193.0
Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Romboutsia;Romboutsia sedimentorum	191.0	191.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Giesbergeria;Giesbergeria giesbergeri	190.0	190.0
