SampleID	Depth	RankCode	NodeName	TaxonPath	TaxID	Status	ResolutionSource
Helga-16SrRNA-NCBI	8	S	Runella zeae	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae;Runella;Runella zeae	94255	Resolved	assignment
Helga-16SrRNA-NCBI	6	F	Cytophagaceae	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	7	G	Sporocytophaga	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Sporocytophaga myxococcoides	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga;Sporocytophaga myxococcoides	153721	Resolved	assignment
Helga-16SrRNA-NCBI	4	C	Chitinophagia	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	5	O	Chitinophagales	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	6	F	Chitinophagaceae	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	7	G	Ferruginibacter	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Ferruginibacter alkalilentus	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter;Ferruginibacter alkalilentus	563170	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Ferruginibacter profundus	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter;Ferruginibacter profundus	1380048	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Terrimonas	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas	0	Unresolved	unresolved
