dataset	scenario	min_identity	min_ref_coverage	inferred_taxid	superkingdom	kingdom	phylum	class	order	family	genus	species	newly_rescued_reads
BLEA	identity_88	88	90	108328	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Proteinivoraceae	Anaerobranca	Anaerobranca gottschalkii	11
BLEA	identity_88	88	90	717959	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii	11
BLEA	identity_88	88	90	879970	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitalea	Defluviitalea saccharophila	11
BLEA	identity_88	88	90	929101	Bacteria	Bacillati	Bacillota	Clostridia	Natranaerobiales	Natranaerobiaceae	Natranaerobaculum	Natranaerobaculum magadiense	11
BLEA	identity_88	88	90	1238186	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter salsicius	11
BLEA	identity_88	88	90	1450156	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitalea	Defluviitalea raffinosedens	11
BLEA	identity_88	88	90	1541063	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Prolixibacter	Prolixibacter denitrificans	11
BLEA	identity_88	88	90	1582259	Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Tissierellaceae	Gudongella	Gudongella oleilytica	11
BLEA	identity_88	88	90	1689270	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	unclassified Eubacteriales family	Intestinimonas	Intestinimonas timonensis	11
BLEA	identity_88	88	90	1841867	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Merdimmobilis	Merdimmobilis hominis	11
BLEA	identity_88	88	90	2487273	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio mesophilus	11
BLEA	identity_88	88	90	2528010	Bacteria	Pseudomonadati	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Lignipirellula	Lignipirellula cremea	11
BLEA	identity_88	88	90	43143	Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Tissierellaceae	Tissierella	Tissierella creatinini	10
BLEA	identity_88	88	90	165813	Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Sporanaerobacteraceae	Sporanaerobacter	Sporanaerobacter acetigenes	10
BLEA	identity_88	88	90	340320	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter luti	10
BLEA	identity_88	88	90	508460	Bacteria	Thermotogati	Synergistota	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	Cloacibacillus evryensis	10
BLEA	identity_88	88	90	632518	Bacteria	Bacillati	Bacillota	unclassified Bacillota class	Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor	Caldicellulosiruptor owensensis	10
BLEA	identity_88	88	90	1123367	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera linaloolentis	10
BLEA	identity_88	88	90	1209989	Bacteria	Bacillati	Bacillota	Clostridia	Thermosediminibacterales	Tepidanaerobacteraceae	Tepidanaerobacter	Tepidanaerobacter acetatoxydans	10
