dataset	min_identity	min_ref_coverage	classified_reads	newly_rescued_reads	remaining_unclassified	classified_pct	rescued_pct_of_baseline_unclassified
BANAE	80	86	44218	13726	8256	84.2665	62.4420
BANAE	80	85	46015	15523	6459	87.6910	70.6169
BANAE	80	84	47894	17402	4580	91.2719	79.1648
BANAE	80	83	48581	18089	3893	92.5811	82.2901
BANAE	80	82	48873	18381	3601	93.1376	83.6184
BANAE	80	81	49136	18644	3338	93.6388	84.8148
BANAE	80	80	49462	18970	3012	94.2600	86.2979
BLEA	90	90	28996	0	31698	47.7741	0.0000
BLEA	90	89	29218	222	31476	48.1398	0.7004
BLEA	90	88	29640	644	31054	48.8351	2.0317
BLEA	90	87	30409	1413	30285	50.1022	4.4577
BLEA	90	86	31641	2645	29053	52.1320	8.3444
BLEA	90	85	33194	4198	27500	54.6907	13.2437
BLEA	90	84	35136	6140	25558	57.8904	19.3703
BLEA	90	83	35640	6644	25054	58.7208	20.9603
BLEA	90	82	35902	6906	24792	59.1525	21.7869
BLEA	90	81	36153	7157	24541	59.5660	22.5787
BLEA	90	80	36399	7403	24295	59.9713	23.3548
BLEA	89	90	33725	4729	26969	55.5656	14.9189
BLEA	89	89	34028	5032	26666	56.0648	15.8748
BLEA	89	88	34534	5538	26160	56.8985	17.4711
BLEA	89	87	35471	6475	25223	58.4424	20.4272
BLEA	89	86	36991	7995	23703	60.9467	25.2224
BLEA	89	85	38982	9986	21712	64.2271	31.5036
BLEA	89	84	41449	12453	19245	68.2918	39.2864
BLEA	89	83	42104	13108	18590	69.3709	41.3528
BLEA	89	82	42450	13454	18244	69.9410	42.4443
BLEA	89	81	42787	13791	17907	70.4963	43.5075
BLEA	89	80	43097	14101	17597	71.0070	44.4855
BLEA	88	90	37740	8744	22954	62.1808	27.5853
BLEA	88	89	38097	9101	22597	62.7690	28.7116
BLEA	88	88	38674	9678	22020	63.7196	30.5319
BLEA	88	87	39717	10721	20977	65.4381	33.8223
BLEA	88	86	41460	12464	19234	68.3099	39.3211
BLEA	88	85	43841	14845	16853	72.2328	46.8326
BLEA	88	84	46760	17764	13934	77.0422	56.0414
BLEA	88	83	47558	18562	13136	78.3570	58.5589
BLEA	88	82	47986	18990	12708	79.0622	59.9091
